,회사명,상장번호
763,에스씨엠생명과학,298060
764,에스아이리소스,065420
765,에스앤더블류,103230
766,에스앤디,260970
767,에스앤에스텍,101490
768,에스에너지,095910
769,에스에스알,275630
770,에스에이엠티,031330
771,에스에이티,060540
772,에스에이티이엔지,351320
773,에스에프에이,056190
774,에스엔유,080000
775,에스엘바이오닉스,214310
776,에스엠,041510
777,에스엠코어,007820
778,에스와이,109610
779,에스제이그룹,306040
780,에스코넥,096630
781,에스텍,069510
782,에스텍파마,041910
783,에스트래픽,234300
784,에스티아이,039440
785,에스티오,098660
786,에스티큐브,052020
787,에스티팜,237690
788,에스폴리텍,050760
789,에스퓨얼셀,288620
790,에스피시스템스,317830
791,에스피지,058610
792,에쎈테크,043340
793,에이디엠코리아,187660
794,에이디칩스,054630
795,에이디테크놀로지,200710
796,에이루트,096690
797,에이비엘바이오,298380
798,에이비온,203400
799,에이비프로바이오,195990
800,에이스침대,003800
801,에이스테크,088800
802,에이스토리,241840
803,에이에프더블류,312610
804,에이치시티,072990
805,에이치앤비디자인,227100
806,에이치엔티,176440
807,에이치엘비파워,043220
808,에이치엘사이언스,239610
809,에이치엠씨제4호스팩,353070
810,에이치엠씨제5호스팩,353060
811,에이치케이,044780
812,에이치피오,357230
813,에이테크솔루션,071670
814,에이텍,045660
815,에이텍티앤,224110
816,에이트원,230980
817,에이티넘인베스트,021080
818,에이티세미콘,089530
819,에이팩트,200470
820,에이프로,262260
821,에이프로젠 H&G,109960
822,에이피티씨,089970
823,에치에프알,230240
824,에코마케팅,230360
825,에코바이오,038870
826,에코캡,128540
827,에코프로,086520
828,에코프로비엠,247540
829,에코프로에이치엔,383310
830,에코플라스틱,038110
831,에프알텍,073540
832,에프앤가이드,064850
833,에프앤리퍼블릭,064090
834,에프에스티,036810
835,에프엔씨엔터,173940
836,에프엔에스테크,083500
837,엑사이엔씨,054940
838,엑세스바이오,950130
839,엑셈,205100
840,엑스큐어,070300
841,엑시콘,092870
842,엔바이오니아,317870
843,엔브이에이치코리아,067570
844,엔비티,236810
845,엔시스,333620
846,엔시트론,101400
847,엔에스,217820
848,엔에스엔,031860
849,엔에이치스팩18호,365590
850,엔에이치스팩20호,391060
851,엔에이치스팩21호,391710
852,엔에이치스팩22호,396770
853,엔에프씨,265740
854,엔젠바이오,354200
855,엔지스테크널러지,208860
856,엔지켐생명과학,183490
857,엔케이맥스,182400
858,엔켐,348370
859,엔텔스,069410
860,엔투텍,227950
861,엔피,291230
862,엔피디,198080
863,엔피케이,048830
864,엘디티,096870
865,엘비루셈,376190
866,엘비세미콘,061970
867,엘아이에스,138690
868,엘앤씨바이오,290650
869,엘앤에프,066970
870,엘앤케이바이오,156100
871,엘엠에스,073110
872,엘오티베큠,083310
873,엘컴텍,037950
874,엘티씨,170920
875,엠게임,058630
876,엠로,058970
877,엠벤처투자,019590
878,엠브레인,169330
879,엠아이텍,179290
880,엠에스씨,009780
881,엠에스오토텍,123040
882,엠에프엠코리아,323230
883,엠케이전자,033160
884,엠투아이,347890
885,엠투엔,033310
886,엠플러스,259630
887,엠피대산,065150
888,연우,115960
889,연이비앤티,090740
890,영림원소프트랩,060850
891,영신금속,007530
892,영우디에스피,143540
893,영풍정밀,036560
894,영화테크,265560
895,예림당,036000
896,예선테크,250930
897,예스24,053280
898,예스티,122640
899,오가닉티코스메틱,900300
900,오공,045060
901,오디텍,080520
902,오로라,039830
903,오로스테크놀로지,322310
904,오르비텍,046120
905,오리엔탈정공,014940
906,오리엔트정공,065500
907,오리콤,010470
908,오비고,352910
909,오상자이엘,053980
910,오성첨단소재,052420
911,오션브릿지,241790
912,오스코텍,039200
913,오스테오닉,226400
914,오스템,031510
915,오스템임플란트,048260
916,오이솔루션,138080
917,오킨스전자,080580
918,오텍,067170
919,오토앤,353590
920,오파스넷,173130
921,오픈베이스,049480
922,오하임아이엔티,309930
923,올리패스,244460
924,올릭스,226950
925,옴니시스템,057540
926,옵트론텍,082210
927,옵티시스,109080
928,옵티팜,153710
929,와이더플래닛,321820
930,와이솔,122990
931,와이아이케이,232140
932,와이어블,065530
933,와이엔텍,067900
934,와이엠씨,155650
935,와이엠텍,273640
936,와이엠티,251370
937,와이오엠,066430
938,와이제이엠게임즈,193250
939,와이즈버즈,273060
940,와이지-원,019210
941,와이지엔터테인먼트,122870
942,와이팜,332570
943,와토스코리아,079000
944,우리기술,032820
945,우리기술투자,041190
946,우리넷,115440
947,우리로,046970
948,우리바이오,082850
949,우리산업,215360
950,우리산업홀딩스,072470
951,우리손에프앤지,073560
952,우리이앤엘,153490
953,우리조명,037400
954,우림피티에스,101170
955,우수AMS,066590
956,우양,103840
957,우원개발,046940
958,우정바이오,215380
959,우주일렉트로,065680
960,우진비앤지,018620
961,원바이오젠,307280
962,원방테크,053080
963,원익,032940
964,원익IPS,240810
965,원익QnC,074600
966,원익머트리얼즈,104830
967,원익큐브,014190
968,원익피앤이,131390
969,원익홀딩스,030530
970,원일특강,012620
971,원준,382840
972,원티드랩,376980
973,원풍,008370
974,원풍물산,008290
975,월덱스,101160
976,웨이브일렉트로,095270
977,웰크론,065950
978,웰크론한텍,076080
979,웹스,196700
980,웹젠,069080
981,웹케시,053580
982,위니아딤채,071460
983,위닉스,044340
984,위더스제약,330350
985,위드텍,348350
986,위메이드,112040
987,위메이드맥스,101730
988,위세아이텍,065370
989,위즈코프,038620
990,위지윅스튜디오,299900
991,위지트,036090
992,윈스,136540
993,윈텍,320000
994,윈팩,097800
995,윈하이텍,192390
996,윌링스,313760
997,윙입푸드,900340
998,유네코,064510
999,유니셈,036200
1000,유니슨,018000
1001,유니온커뮤니티,203450
1002,유니크,011320
1003,유니테스트,086390
1004,유니테크노,241690
1005,유니트론텍,142210
1006,유라테크,048430
1007,유바이오로직스,206650
1008,유비벨록스,089850
1009,유비케어,032620
1010,유비쿼스,264450
1011,유비쿼스홀딩스,078070
1012,유성티엔에스,024800
1013,유신,054930
1014,유아이디,069330
1015,유아이엘,049520
1016,유안타제5호스팩,336060
1017,유안타제7호스팩,367460
1018,유안타제8호스팩,367480
1019,유앤아이,056090
1020,유에스티,263770
1021,유일에너테크,340930
1022,유진기업,023410
1023,유진로봇,056080
1024,유진스팩6호,373340
1025,유진스팩7호,388800
1026,유진테크,084370
1027,유테크,178780
1028,유티아이,179900
1029,유틸렉스,263050
1030,육일씨엔에쓰,191410
1031,율호,072770
1032,이건홀딩스,039020
1033,이글루시큐리티,067920
1034,이글벳,044960
1035,이노뎁,303530
1036,이노메트리,302430
1037,이노와이어리스,073490
1038,이노인스트루먼트,215790
1039,이노테라피,246960
1040,이녹스,088390
1041,이녹스첨단소재,272290
1042,이니텍,053350
1043,이더블유케이,258610
1044,이라이콤,041520
1045,이랜시스,264850
1046,이랜텍,054210
1047,이루다,164060
1048,이루온,065440
1049,이미지스,115610
1050,이베스트스팩5호,349720
1051,이베스트투자증권,078020
1052,이브이첨단소재,131400
1053,이삭엔지니어링,351330
1054,이상네트웍스,080010
1055,이수앱지스,086890
1056,이스트소프트,047560
1057,이스트아시아홀딩스,900110
1058,이씨에스,067010
1059,이엔드디,101360
1060,이엔에프테크놀로지,102710
1061,이엔코퍼레이션,066980
1062,이엘피,063760
1063,이엠넷,123570
1064,이엠앤아이,083470
1065,이엠코리아,095190
1066,이엠텍,091120
1067,이오테크닉스,039030
1068,이오플로우,294090
1069,이원컴포텍,088290
1070,이즈미디어,181340
1071,이지바이오,353810
1072,이지케어텍,099750
1073,이지트로닉스,377330
1074,이지홀딩스,035810
1075,이큐셀,160600
1076,이크레더블,092130
1077,이트론,096040
1078,이퓨쳐,134060
1079,이화공영,001840
1080,이화전기,024810
1081,인바디,041830
1082,인바이오,352940
1083,인베니아,079950
1084,인산가,277410
1085,인선이엔티,060150
1086,인성정보,033230
1087,인지디스플레,037330
1088,인카금융서비스,211050
1089,인콘,083640
1090,인크로스,216050
1091,인탑스,049070
1092,인터로조,119610
1093,인터엠,017250
1094,인터파크,035080
1095,인터플렉스,051370
1096,인텍플러스,064290
1097,인텔리안테크,189300
1098,인트로메딕,150840
1099,인트론바이오,048530
1100,인포마크,175140
1101,인포바인,115310
1102,인포뱅크,039290
1103,인피니트헬스케어,071200
1104,인피니티엔티,016670
1105,인화정공,101930
1106,일승,333430
1107,일신바이오,068330
1108,일야,058450
1109,일지테크,019540
1110,일진파워,094820
1111,잉글우드랩,950140
1112,잉크테크,049550
1113,자비스,254120
1114,자연과환경,043910
1115,자이글,234920
1116,자이언트스텝,289220
1117,장원테크,174880
1118,재영솔루텍,049630
1119,전진바이오팜,110020
1120,정다운,208140
1121,정산애강,022220
1122,정상제이엘에스,040420
1123,정원엔시스,045510
1124,제너셈,217190
1125,제넥신,095700
1126,제넨바이오,072520
1127,제노레이,122310
1128,제노코,361390
1129,제노포커스,187420
1130,제놀루션,225220
1131,제닉,123330
1132,제로투세븐,159580
1133,제룡산업,147830
1134,제룡전기,033100
1135,제우스,079370
1136,제이브이엠,054950
1137,제이스텍,090470
1138,제이시스메디칼,287410
1139,제이씨케미칼,137950
1140,제이씨현시스템,033320
1141,제이앤티씨,204270
1142,제이에스티나,026040
1143,제이엔케이히터,126880
1144,제이엘케이,322510
1145,제이엠아이,033050
1146,제이엠티,094970
1147,제이웨이,058420
1148,제이티,089790
1149,제일바이오,052670
1150,제일전기공업,199820
1151,제일제강,023440
1152,제일테크노스,038010
1153,제주맥주,276730
1154,제주반도체,080220
1155,제테마,216080
1156,젠큐릭스,229000
1157,젬백스,082270
1158,젬백스링크,064800
1159,젬백스지오,041590
1160,조광ILI,044060
1161,조아제약,034940
1162,조이시티,067000
1163,좋은사람들,033340
1164,주성엔지니어링,036930
1165,줌인터넷,239340
1166,중앙디앤엠,051980
1167,중앙백신,072020
1168,중앙에너비스,000440
1169,지나인제약,078650
1170,지노믹트리,228760
1171,지놈앤컴퍼니,314130
1172,지니너스,389030
1173,지니뮤직,043610
1174,지니언스,263860
1175,지니틱스,303030
1176,지더블유바이텍,036180
1177,지란지교시큐리티,208350
1178,지씨셀,144510
1179,지아이텍,382480
